Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
DRE,DRE,REIT - Industrial,30.44,53.40351,0.02776865,0.9900000000000001,31.69,24.67,11036844032,29.86,11.193395,2.3672137,
URI,URI,Rental & Leasing Services,127.09,5.9638667,,16.75,175.42,94.28,9992336384,9.195,1.1853305,2.9677975,
APA,APA,Oil & Gas E&P,31.01,18.680723,0.0331785,1.54,50.03,24.56,11657310208,4.814,1.6326766,1.6679218,
TAP,TAP,Beverages - Brewers,58.42,12.070248,0.028339382,5.08,71.04,54.17,12643899392,9.574,1.1771184,0.9263458,
LNT,LNT,Utilities - Regulated Electric,47.35,19.6473,0.028422154,2.17,47.92,38.22,11240605696,14.343,3.117714,2.4006286,
CBOE,CBOE,,100.98,20.777779,0.010810811,5.029999999999999,115.11,87.87,11279971328,,,,
COG,COG,Oil & Gas E&P,26.3,13.842105,0.010097087,1.6600000000000001,27.65,20.95,11132422144,8.865,4.820295,4.797519,
EMN,EMN,Chemicals,72.99,7.7484074,0.032542747,7.720000000000001,110.17,67.4,10114881536,8.278,1.0192344,1.7310975,
CTL,CTL,Telecom Services,11,8.396947,0.17792578,1.1800000000000002,24.2,10.28,11993410560,5.359,0.5181858,0.8856683,
HRL,HRL,Packaged Foods,39.41,20.633509,0.0195048,1.78,46.26,34.12,21110990848,16.065,2.2048578,3.6921492,
JKHY,JKHY,Business Services,135.21,34.66923,0.011357654,3.83,163.68,119.3,10438699008,21.47,6.510986,7.3197274,
UHS,UHS,Medical Care,122.54,11.377901,0.0032829943,9.52,142.22,109.37,11043488768,9.034,1.0141734,2.0147648,
PKI,PKI,Diagnostics & Research,89.04,19.356522,0.0031778459,3.68,103,71.31,9876139008,21.452,3.5490432,3.7422774,
NDAQ,NDAQ,Financial Exchanges,91.17,16.883333,0.019361936,4.81,96.84,75.49,15107323904,14.632,3.6272087,2.7497287,
BEN,BEN,Asset Management,33.42,12.241757,0.0299511,3.1399999999999997,35.82,27.34,16962654208,7.521,2.8599508,1.7167515,
FMC,FMC,Agricultural Inputs,75.13,11.314759,0.015068676,6.169999999999999,81.8,60.156113,9891465216,10.547,2.0555828,3.5825663,
NI,NI,Utilities - Regulated Gas,28.04,20.172663,0.027915196,1.37,28.85,23.23,10461808640,29.892,1.9990079,2.134592,
PNW,PNW,Utilities - Regulated Electric,94.98,18.733728,0.029747691,4.67,97.27,73.41,10664070144,10.842,2.85207,2.0308325,
VIAB,VIAB,Media - Diversified,28.47,6.4266367,0.028419184,4.21,34.44,23.31,11737753600,6.785,0.9191663,1.4395509,
WAB,WAB,Railroads,69.54,14.338145,0.0068094768,3.94,115.4,65.09,12852243456,20.74,2.6223786,1.1687199,
FTI,FTI,Oil & Gas Equipment & Services,22.61,14.310126,0.023593465,0.56,34.39,18.2,10130704384,7.426,0.82091814,0.98001826,
CF,CF,Agricultural Inputs,41.19,15.032846,0.029615005,1.24,56.51,38.9,9106202624,10.052,2.0358155,3.0879376,
FRT,FRT,REIT - Retail,128.65,40.20312,0.03142658,3.1500000000000004,139.29,113.25,9722774528,22.674,10.591824,4.3208838,
DISCK,DISCK,Media - Diversified,26.25,6.765464,,2.79,31.55,19.25,19951837184,7.343,1.8215865,2.1528747,
LW,LW,Packaged Foods,67.02,19.203438,0.011632101,3.13,83.86,63.02,9803283456,15.381,2.6702485,,
WRK,WRK,Packaging & Containers,37.19,9.092909,0.04900332,4.01,62.8,35.2,9559429120,6.882,0.55188227,0.82073575,
PVH,PVH,Apparel Manufacturing,112.37,9.796862,0.0013333334,9.59,169.22,86.46,8432896512,9.04,0.8732599,1.4539126,
NOV,NOV,Oil & Gas Equipment & Services,24.38,42.03448,0.00842815,-0.05000000000000002,49.08,23.42,9408729088,13.683,1.0942928,0.683545,
JNPR,JNPR,Communication Equipment,25.49,12.873737,0.028683694,1.8699999999999999,30.8,24.82,8776844288,9.309,1.9219646,1.8495139,
RE,RE,Insurance - Reinsurance,248.45,9.945957,0.021901364,6.090000000000001,250,201.09,10120262656,,1.3333623,1.2020766,
ZION,ZION,Banks - Regional - US,46.44,9.695198,0.024766456,4.050000000000001,59.19,38.08,8478318080,,3.0204196,1.2070489,
HSIC,HSIC,Medical Distribution,67.31,17.759893,,3.99,71.64706,53.913727,10034170880,11.041,0.7550841,3.5856595,
SNA,SNA,Tools & Accessories,162.24,12.40367,0.022069827,12.03,189.46,135.29,8988810240,9.947,2.214429,2.8110545,
QRVO,QRVO,Semiconductors,72.86,10.810089,,5.78,86.5,54.735,8946406400,10.18,2.8949726,2.0732436,
GRMN,GRMN,Scientific & Technical Instruments,77.99,19.844784,0.029503105,3.7399999999999998,89.72,58.71,14806167552,15.586,4.3513994,3.4311483,
AVY,AVY,Business Equipment,103.4,14.361112,0.02004626,6.109999999999999,117,82.89,8728593408,11.49,1.2254614,8.798503,
