Date,Open,High,Low,Close,AdjClose,Volume
1992-02-14,2.2767856121063232,2.294642925262451,2.2589285373687744,2.2901785373687744,1.9190056324005127,18146800
1992-02-18,2.294642925262451,2.3035714626312256,2.2410714626312256,2.2410714626312256,1.8778568506240845,17088400
1992-02-19,2.2410714626312256,2.25,2.205357074737549,2.2142856121063232,1.8554128408432007,23917600
1992-02-20,2.232142925262451,2.3125,2.2232143878936768,2.3080356121063232,1.9339686632156372,32715200
1992-02-21,2.3125,2.3392856121063232,2.3035714626312256,2.3214285373687744,1.945190668106079,37895200
1992-02-24,2.3660714626312256,2.375,2.3482143878936768,2.361607074737549,1.9788572788238525,42851200
1992-02-25,2.3660714626312256,2.4464285373687744,2.330357074737549,2.4464285373687744,2.049931764602661,56803600
1992-02-26,2.4375,2.5,2.4375,2.4955356121063232,2.0910804271698,57271200
1992-02-27,2.5,2.5,2.4285714626312256,2.4464285373687744,2.049931764602661,30542400
1992-02-28,2.4464285373687744,2.4642856121063232,2.392857074737549,2.4107143878936768,2.020005941390991,22598800
1992-03-02,2.419642925262451,2.4464285373687744,2.4017856121063232,2.4017856121063232,2.012524127960205,22313200
1992-03-03,2.419642925262451,2.4285714626312256,2.3660714626312256,2.3705356121063232,1.9863388538360596,24819200
1992-03-04,2.3660714626312256,2.3839285373687744,2.3125,2.3214285373687744,1.945190668106079,28842800
1992-03-05,2.3035714626312256,2.3392856121063232,2.25,2.267857074737549,1.9003013372421265,59180800
1992-03-06,2.267857074737549,2.2857143878936768,2.25,2.2857143878936768,1.9152648448944092,33572000
1992-03-09,2.2767856121063232,2.294642925262451,2.267857074737549,2.2767856121063232,1.9077836275100708,27235600
1992-03-10,2.2857143878936768,2.3125,2.2767856121063232,2.2767856121063232,1.9077836275100708,30674000
1992-03-11,2.2767856121063232,2.294642925262451,2.25,2.2589285373687744,1.8928204774856567,32914000
1992-03-12,2.2589285373687744,2.2767856121063232,2.1964285373687744,2.2410714626312256,1.8778568506240845,38225600
1992-03-13,2.2589285373687744,2.2767856121063232,2.2142856121063232,2.2544643878936768,1.8890796899795532,19796000
1992-03-16,2.2410714626312256,2.267857074737549,2.205357074737549,2.263392925262451,1.8965611457824707,14072800
1992-03-17,2.267857074737549,2.2767856121063232,2.2410714626312256,2.2455356121063232,1.8815982341766357,21274400
1992-03-18,2.2589285373687744,2.2857143878936768,2.25,2.2767856121063232,1.9077836275100708,20258000
1992-03-19,2.2767856121063232,2.2767856121063232,2.2410714626312256,2.25,1.8853381872177124,29629600
1992-03-20,2.25,2.2589285373687744,2.25,2.2589285373687744,1.8928204774856567,13540800
1992-03-23,2.25,2.2767856121063232,2.25,2.25,1.8853381872177124,12518800
1992-03-24,2.267857074737549,2.3214285373687744,2.2589285373687744,2.3214285373687744,1.945190668106079,52354400
1992-03-25,2.3214285373687744,2.3214285373687744,2.294642925262451,2.3035714626312256,1.9302273988723755,30388400
1992-03-26,2.3125,2.330357074737549,2.2767856121063232,2.2857143878936768,1.9152648448944092,30755200
1992-03-27,2.28125,2.2857143878936768,2.1607143878936768,2.1785714626312256,1.8254868984222412,66133200
1992-03-30,2.1875,2.1875,2.0625,2.075892925262451,1.7394492626190186,84758800
1992-03-31,2.080357074737549,2.1339285373687744,2.0714285373687744,2.080357074737549,1.743190050125122,53158000
1992-04-01,2.044642925262451,2.1160714626312256,2.044642925262451,2.107142925262451,1.7656344175338745,39914000
1992-04-02,2.107142925262451,2.125,2.0848214626312256,2.0982143878936768,1.7581530809402466,33493600
